"md5_email"|"V01"|"V02"|"V03"|"V04"|"V05"|"V06"|"V07"|"V08"|"V09"|"V10"|"V11"|"V12"|"V13"|"V14"|"V15"|"V16"|"V17"|"V18"|"V19"|"V20"|"V21"|"V22"|"V23"|"V24"|"V25"|"V26"|"V27"|"V28"|"V29"|"V30"|"V31"|"V32"|"V33"|"V34"|"V35"|"V36"|"V37"|"V38"|"V39"|"V40"|"V41"|"V42"|"V43"|"V44"|"V45"|"V46"|"V47"|"V48"|"V49"|"V50"|"V51"|"V52"|"V53"|"V54"|"V55"|"V56"|"V57"|"V58"|"V59"|"V60"|"year"|"week"
"11"|"728915178863fbb1af001d6a5625dc41"|4.2|2.6|4.2|5|5|5|4.2|1|5|4.2|3.4|3.4|2.6|3.4|5|4.2|5|3.4|2.6|1.8|4.2|4.2|5|5|1|5|2.6|3.4|1|4.2|4.2|4.2|4.2|3.4|3.4|4.2|3.4|3.4|5|5|4.2|4.2|4.2|5|4.2|5|5|3.4|3.4|2.6|3.4|4.2|4.2|5|4.2|4.2|5|4.2|4.2|2.6|"2019"|"17"
"12"|"a5117236f8b18e8881fe9c7c975720ac"|5|5|1|5|5|5|5|5|5|1|5|5|5|5|5|5|5|5|5|1|5|5|5|1|1|5|1|1|5|5|5|1|5|5|1|5|5|5|5|5|5|5|5|5|5|5|5|1|5|1|5|5|5|5|5|5|5|5|5|5|"2019"|"15"
"13"|"13a5d14b31a55513c1f27e9b388c1b8f"|3.4|4.2|1.8|1.8|3.4|3.4|2.6|4.2|1.8|2.6|5|1.8|4.2|5|4.2|2.6|3.4|5|4.2|3.4|5|3.4|4.2|5|3.4|1|1.8|1.8|5|1|1.8|5|5|5|2.6|5|2.6|5|5|5|1.8|5|5|1.8|5|5|5|5|5|3.4|3.4|5|5|5|5|5|5|5|1.8|5|"2019"|"10"
"14"|"0bc0911c3c8ea8b880be659b7a093540"|4.2|5|3.4|3.4|4.2|5|4.2|3.4|5|4.2|4.2|2.6|4.2|3.4|4.2|4.2|5|4.2|3.4|1.8|3.4|4.2|3.4|4.2|3.4|5|3.4|5|5|4.2|5|4.2|4.2|4.2|5|4.2|4.2|4.2|4.2|2.6|5|5|4.2|3.4|5|5|3.4|5|5|2.6|4.2|5|5|4.2|4.2|5|5|3.4|4.2|5|"2019"|"09"
"15"|"eb2783586a39212fd4b6bf1bb77f97f4"|1.8|3.4|3.4|4.2|4.2|4.2|5|2.6|5|3.4|1.8|2.6|3.4|3.4|4.2|4.2|5|4.2|3.4|1.8|1.8|4.2|4.2|4.2|1.8|4.2|4.2|4.2|2.6|4.2|4.2|3.4|4.2|3.4|3.4|4.2|2.6|3.4|4.2|4.2|2.6|3.4|3.4|4.2|4.2|3.4|4.2|4.2|3.4|3.4|4.2|5|4.2|4.2|2.6|5|3.4|1.8|1.8|4.2|"2019"|"08"
"16"|"5af16eac6d0852e0467dae6bd7c72cec"|4.2|3.4|4.2|4.2|3.4|3.4|4.2|1.8|3.4|1.8|4.2|3.4|2.6|4.2|2.6|3.4|4.2|4.2|2.6|3.4|4.2|1.8|3.4|4.2|2.6|5|3.4|2.6|3.4|3.4|3.4|1.8|4.2|3.4|3.4|2.6|4.2|3.4|5|4.2|5|4.2|3.4|4.2|2.6|3.4|4.2|2.6|2.6|5|5|3.4|4.2|4.2|3.4|3.4|4.2|4.2|4.2|3.4|"2019"|"08"
"17"|"369c1f51d554588b712903c41e7aee0a"|3.4|3.4|1.8|5|5|4.2|2.6|4.2|5|4.2|1.8|3.4|4.2|4.2|4.2|5|4.2|5|3.4|5|3.4|5|3.4|2.6|1|5|4.2|1.8|1.8|4.2|3.4|1|5|4.2|4.2|4.2|1|5|5|5|5|4.2|4.2|4.2|4.2|5|5|1.8|5|4.2|5|4.2|5|5|4.2|5|5|3.4|5|5|"2019"|"08"
"18"|"c90b54231eb3853c478d07ead510259d"|1.8|3.4|4.2|5|4.2|5|3.4|4.2|4.2|4.2|4.2|1.8|1.8|3.4|4.2|4.2|4.2|4.2|3.4|2.6|2.6|5|4.2|5|2.6|3.4|4.2|3.4|2.6|4.2|4.2|4.2|3.4|5|5|5|4.2|4.2|4.2|5|4.2|4.2|5|4.2|4.2|5|5|4.2|5|4.2|4.2|5|5|5|5|5|5|5|5|5|"2019"|"07"
"19"|"685247a7a66e0d0c8aba24081f831a8e"|4.2|3.4|3.4|2.6|3.4|3.4|4.2|4.2|4.2|3.4|2.6|3.4|3.4|3.4|3.4|3.4|3.4|4.2|4.2|3.4|2.6|4.2|3.4|1.8|1.8|4.2|4.2|3.4|1.8|3.4|4.2|3.4|4.2|4.2|3.4|4.2|3.4|4.2|4.2|4.2|4.2|3.4|3.4|4.2|4.2|4.2|4.2|3.4|3.4|4.2|4.2|3.4|4.2|4.2|4.2|3.4|4.2|4.2|3.4|4.2|"2019"|"06"
"20"|"81295529035a30635a02a55f0f9330bb"|3.4|4.2|1.8|4.2|4.2|4.2|1.8|2.6|5|4.2|1.8|3.4|5|4.2|3.4|4.2|4.2|4.2|5|1|1.8|4.2|4.2|4.2|1.8|4.2|3.4|4.2|2.6|4.2|4.2|3.4|4.2|3.4|2.6|4.2|3.4|3.4|4.2|3.4|3.4|4.2|3.4|4.2|3.4|3.4|4.2|3.4|4.2|3.4|4.2|4.2|4.2|4.2|3.4|4.2|3.4|4.2|3.4|4.2|"2019"|"06"
"21"|"614592177427f8976c5bb892dbe94247"|3.4|2.6|3.4|4.2|4.2|5|5|3.4|4.2|3.4|1|1.8|3.4|2.6|5|4.2|4.2|4.2|2.6|1.8|2.6|4.2|5|5|1.8|5|2.6|3.4|1.8|4.2|5|1.8|5|3.4|3.4|4.2|2.6|5|5|2.6|5|1.8|3.4|4.2|5|3.4|2.6|4.2|4.2|1.8|4.2|5|5|4.2|3.4|1.8|5|4.2|3.4|4.2|"2019"|"05"
"22"|"fbb1a8dc1cc5fccdd17332e685d00997"|4.2|5|1.8|4.2|5|4.2|5|4.2|5|5|4.2|4.2|5|5|4.2|5|4.2|5|4.2|2.6|4.2|4.2|5|4.2|4.2|5|3.4|4.2|4.2|3.4|5|4.2|4.2|5|4.2|5|5|5|5|5|5|5|5|4.2|4.2|4.2|4.2|4.2|5|5|3.4|5|4.2|4.2|4.2|4.2|5|5|5|5|"2019"|"04"
"23"|"c29e24b16f1c8c6e897b42b45dee9297"|5|5|1|4.2|5|5|5|2.6|4.2|5|3.4|4.2|3.4|5|3.4|5|5|5|2.6|1.8|2.6|5|5|4.2|2.6|4.2|4.2|3.4|3.4|4.2|3.4|5|3.4|4.2|3.4|5|5|4.2|5|4.2|3.4|5|4.2|5|5|5|5|1.8|5|4.2|5|5|5|5|3.4|5|5|5|3.4|5|"2019"|"02"
"24"|"d596007012295ab8802e3e87c59510bc"|3.4|4.2|1|2.6|1.8|4.2|2.6|1|4.2|4.2|3.4|4.2|4.2|4.2|3.4|3.4|4.2|3.4|5|2.6|3.4|4.2|5|1.8|4.2|1.8|2.6|1|4.2|2.6|3.4|4.2|4.2|5|4.2|4.2|2.6|5|4.2|5|2.6|4.2|3.4|2.6|2.6|5|3.4|2.6|5|2.6|3.4|3.4|4.2|3.4|4.2|3.4|3.4|4.2|2.6|2.6|"2019"|"02"
"25"|"6ae9acb687e9afe47635ba39226b6e2e"|5|5|5|5|5|5|4.2|3.4|5|5|3.4|3.4|3.4|5|2.6|5|2.6|5|4.2|1|3.4|5|5|5|5|5|4.2|1.8|2.6|3.4|3.4|2.6|5|4.2|5|4.2|3.4|5|5|3.4|2.6|2.6|3.4|1|3.4|4.2|5|4.2|5|1|5|4.2|5|1|3.4|3.4|5|5|3.4|5|"2019"|"02"
"26"|"97e1299219669f6731d16809825c23bd"|3.4|1.8|2.6|3.4|3.4|2.6|5|2.6|4.2|3.4|3.4|2.6|3.4|4.2|3.4|3.4|3.4|4.2|4.2|1.8|2.6|3.4|3.4|3.4|1.8|4.2|4.2|4.2|2.6|4.2|3.4|4.2|4.2|3.4|3.4|4.2|3.4|4.2|4.2|4.2|3.4|4.2|3.4|4.2|3.4|4.2|3.4|3.4|3.4|3.4|4.2|4.2|4.2|4.2|2.6|3.4|4.2|2.6|3.4|4.2|"2019"|"02"
"27"|"f6c3f631bf634cb95c7b61b55dddfd4c"|1.8|1.8|4.2|4.2|3.4|3.4|4.2|3.4|4.2|1.8|1.8|1.8|1.8|1.8|3.4|2.6|4.2|4.2|1.8|2.6|1.8|3.4|1.8|4.2|4.2|2.6|3.4|4.2|1.8|2.6|4.2|3.4|3.4|1.8|3.4|3.4|1.8|1.8|2.6|3.4|4.2|3.4|2.6|2.6|3.4|3.4|2.6|2.6|1.8|2.6|2.6|4.2|3.4|2.6|2.6|1.8|2.6|1.8|1.8|3.4|"2018"|"43"
"28"|"c959f6a42c350823fc974425191091b0"|3.4|1.8|1.8|5|4.2|3.4|5|3.4|5|3.4|2.6|3.4|2.6|4.2|5|3.4|5|5|2.6|2.6|1.8|5|4.2|4.2|1.8|4.2|3.4|5|1.8|5|5|3.4|5|2.6|5|4.2|1.8|5|5|4.2|1.8|5|1.8|3.4|5|5|4.2|3.4|1.8|3.4|3.4|5|4.2|4.2|4.2|5|2.6|5|2.6|5|"2018"|"36"
"29"|"1d26e9552da1246cd2efe0d3232cd11e"|1|2.6|4.2|1|2.6|3.4|4.2|2.6|2.6|1|3.4|2.6|4.2|1.8|1.8|2.6|2.6|2.6|3.4|3.4|2.6|1.8|1|3.4|2.6|2.6|1.8|4.2|3.4|1|4.2|3.4|4.2|4.2|4.2|4.2|3.4|3.4|2.6|2.6|4.2|1.8|2.6|3.4|2.6|5|1.8|4.2|4.2|3.4|1.8|4.2|1.8|1.8|1|1|3.4|2.6|3.4|1|"2018"|"20"
"30"|"a60763fba33ace9f7e589a6a3419fe5f"|1.8|2.6|5|4.2|5|3.4|3.4|3.4|5|3.4|1|2.6|3.4|2.6|5|5|4.2|3.4|3.4|1.8|1|5|4.2|5|1|5|3.4|4.2|1|5|4.2|3.4|5|2.6|3.4|4.2|1|3.4|4.2|3.4|2.6|3.4|4.2|3.4|4.2|5|4.2|4.2|3.4|2.6|1.8|4.2|5|3.4|5|3.4|4.2|4.2|1.8|5|"2018"|"20"
"31"|"3594d5c6658a5891b97c082b7c412538"|2.6|1.8|4.2|4.2|5|5|5|5|4.2|2.6|2.6|3.4|2.6|3.4|4.2|4.2|5|4.2|2.6|1.8|1|4.2|4.2|4.2|1.8|3.4|3.4|4.2|1|5|4.2|5|5|3.4|5|4.2|1|4.2|4.2|5|1.8|2.6|4.2|3.4|4.2|4.2|5|3.4|4.2|1|3.4|4.2|5|3.4|2.6|4.2|3.4|4.2|2.6|4.2|"2018"|"19"
"32"|"232168d069e04230f15c5bcea2436d18"|1.8|1.8|2.6|4.2|4.2|2.6|3.4|1.8|4.2|3.4|3.4|1.8|3.4|1.8|3.4|4.2|5|3.4|3.4|2.6|1|2.6|4.2|4.2|1.8|4.2|4.2|5|1.8|2.6|3.4|3.4|5|3.4|1.8|3.4|2.6|4.2|5|3.4|4.2|3.4|2.6|2.6|3.4|4.2|3.4|5|4.2|3.4|2.6|3.4|4.2|4.2|2.6|2.6|4.2|4.2|1.8|2.6|"2018"|"19"
"33"|"6aab6eccd04f34e739ae3250a961ca84"|2.6|2.6|3.4|4.2|5|3.4|3.4|2.6|4.2|1.8|1.8|3.4|2.6|1.8|4.2|3.4|4.2|3.4|1.8|1.8|2.6|2.6|2.6|3.4|2.6|4.2|2.6|4.2|2.6|4.2|3.4|3.4|4.2|1.8|3.4|2.6|2.6|2.6|4.2|1.8|5|3.4|3.4|2.6|3.4|1.8|3.4|5|1.8|2.6|4.2|3.4|4.2|3.4|2.6|2.6|3.4|3.4|3.4|2.6|"2018"|"19"
"34"|"2d5255e7d4f749312da386efef379bc7"|2.6|3.4|1.8|5|4.2|1.8|5|4.2|5|3.4|1.8|2.6|4.2|2.6|5|3.4|4.2|5|3.4|1.8|3.4|5|4.2|5|1|2.6|2.6|4.2|4.2|3.4|4.2|5|4.2|4.2|4.2|5|1|5|2.6|2.6|5|4.2|2.6|3.4|3.4|4.2|5|4.2|3.4|3.4|5|2.6|5|2.6|1.8|4.2|4.2|4.2|5|2.6|"2018"|"19"
"35"|"3e67912ca3ae000ae93283ea5851e26f"|3.4|1|5|5|3.4|2.6|4.2|2.6|4.2|3.4|1.8|3.4|4.2|1.8|4.2|3.4|2.6|2.6|3.4|2.6|3.4|4.2|2.6|4.2|1|5|1.8|5|2.6|3.4|5|5|5|4.2|4.2|2.6|4.2|2.6|5|4.2|3.4|4.2|3.4|4.2|1.8|1.8|2.6|3.4|4.2|1|2.6|5|2.6|3.4|1|3.4|3.4|1.8|3.4|1|"2018"|"19"
"36"|"f80d397a4af9a2f3a283b4f3b9dbf841"|2.6|4.2|2.6|2.6|4.2|2.6|4.2|4.2|4.2|4.2|2.6|1.8|4.2|3.4|2.6|3.4|2.6|4.2|3.4|1.8|1.8|3.4|4.2|4.2|1.8|5|2.6|4.2|2.6|3.4|2.6|2.6|4.2|5|2.6|3.4|1.8|2.6|5|4.2|4.2|1.8|4.2|3.4|2.6|3.4|4.2|4.2|4.2|3.4|4.2|2.6|3.4|2.6|1.8|2.6|4.2|5|1.8|3.4|"2018"|"18"
"37"|"7b00a613794faad9e6ab3caa2647f91e"|2.6|3.4|1.8|4.2|5|5|3.4|2.6|5|4.2|2.6|2.6|2.6|3.4|5|5|5|5|2.6|1.8|1.8|4.2|5|5|1|4.2|3.4|4.2|1.8|5|4.2|5|5|3.4|4.2|4.2|1|1.8|4.2|5|2.6|3.4|4.2|3.4|4.2|4.2|5|4.2|2.6|1.8|1.8|4.2|5|3.4|2.6|3.4|5|4.2|2.6|4.2|"2018"|"18"
"38"|"33b4273ac4ac1854b90906a37a03bd74"|3.4|2.6|3.4|4.2|4.2|3.4|3.4|4.2|4.2|2.6|2.6|3.4|3.4|2.6|3.4|3.4|3.4|2.6|3.4|2.6|1.8|5|3.4|3.4|1.8|4.2|3.4|4.2|2.6|3.4|4.2|3.4|3.4|3.4|3.4|3.4|2.6|3.4|4.2|3.4|4.2|3.4|3.4|3.4|3.4|2.6|3.4|3.4|3.4|1.8|3.4|4.2|3.4|2.6|3.4|2.6|3.4|3.4|3.4|3.4|"2018"|"18"
"39"|"d68a6997183bcaa9aee03c601f44affc"|3.4|1.8|3.4|3.4|3.4|3.4|3.4|3.4|3.4|3.4|1.8|3.4|2.6|2.6|4.2|3.4|3.4|3.4|2.6|2.6|1.8|3.4|3.4|3.4|1.8|3.4|2.6|4.2|1.8|3.4|2.6|2.6|4.2|3.4|2.6|3.4|2.6|4.2|3.4|3.4|2.6|2.6|3.4|3.4|3.4|2.6|2.6|3.4|2.6|2.6|2.6|3.4|4.2|4.2|3.4|3.4|3.4|3.4|2.6|3.4|"2018"|"18"
"40"|"db9b7ff8a8bf931e82934bdfedd9157f"|2.6|3.4|4.2|3.4|4.2|4.2|4.2|4.2|4.2|5|1.8|2.6|2.6|3.4|3.4|4.2|4.2|4.2|2.6|1.8|1|5|4.2|3.4|1|4.2|3.4|3.4|1.8|5|3.4|4.2|4.2|2.6|3.4|4.2|1|4.2|5|3.4|1|1.8|3.4|3.4|4.2|3.4|4.2|3.4|3.4|2.6|1.8|2.6|5|4.2|3.4|2.6|3.4|4.2|1.8|4.2|"2018"|"18"
"41"|"5c9e1b805c9381713e5313a93f106ecf"|4.2|2.6|2.6|4.2|3.4|5|3.4|3.4|5|5|2.6|4.2|4.2|2.6|5|5|4.2|5|4.2|1.8|3.4|4.2|5|3.4|2.6|4.2|3.4|3.4|3.4|3.4|3.4|4.2|3.4|4.2|3.4|5|3.4|4.2|4.2|4.2|2.6|3.4|4.2|4.2|4.2|5|3.4|4.2|3.4|2.6|3.4|3.4|4.2|4.2|2.6|4.2|4.2|3.4|3.4|3.4|"2018"|"04"
"42"|"ece0c3bd125984b3528887c1b17a83b3"|4.2|4.2|3.4|3.4|5|3.4|3.4|2.6|5|5|2.6|4.2|4.2|5|4.2|4.2|5|4.2|4.2|2.6|1.8|5|5|3.4|2.6|5|4.2|4.2|1.8|3.4|1.8|2.6|3.4|4.2|3.4|3.4|1.8|1.8|4.2|1.8|1.8|2.6|1|3.4|1.8|4.2|3.4|2.6|4.2|1|4.2|1.8|4.2|2.6|1.8|5|1.8|4.2|1|2.6|"2018"|"03"
"43"|"3f3703975e7a762183c45d501d3a05f7"|1.8|2.6|2.6|3.4|3.4|3.4|3.4|4.2|3.4|2.6|4.2|1.8|3.4|2.6|5|4.2|4.2|4.2|3.4|2.6|2.6|3.4|3.4|4.2|2.6|2.6|3.4|3.4|4.2|3.4|2.6|3.4|4.2|1.8|3.4|4.2|1.8|2.6|3.4|2.6|1.8|3.4|3.4|3.4|3.4|4.2|4.2|2.6|3.4|3.4|2.6|2.6|4.2|2.6|5|4.2|3.4|4.2|2.6|4.2|"2018"|"01"
"44"|"d4cd58af85b35632e737d8823f6c5647"|5|5|2.6|4.2|5|5|5|5|5|5|1|5|5|5|5|5|5|5|5|1|1|5|5|5|1|5|5|5|1|5|1|1|1|1|1|1|5|1|1|1|5|1|1|1|1|1|1|1|1|1|1|1|1|1|1.8|1|1|1|1|1|"2018"|"01"
"45"|"d91a1d911406cb1ffaa5354874482b47"|2.6|3.4|2.6|3.4|4.2|4.2|5|5|3.4|4.2|1.8|2.6|4.2|3.4|3.4|3.4|4.2|2.6|3.4|2.6|2.6|4.2|4.2|4.2|2.6|3.4|3.4|3.4|3.4|4.2|4.2|2.6|4.2|3.4|5|2.6|3.4|3.4|3.4|3.4|2.6|3.4|3.4|2.6|3.4|4.2|4.2|3.4|4.2|2.6|1.8|4.2|4.2|2.6|2.6|2.6|3.4|3.4|2.6|4.2|"2018"|"01"
"46"|"9a7a2c81aceb7cd2316d637b76c4e911"|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|"2017"|"52"
"47"|"4f4b77a3376f2cca9c86712cadf12728"|3.4|3.4|3.4|4.2|5|4.2|4.2|4.2|5|4.2|1.8|2.6|4.2|4.2|3.4|5|5|5|3.4|1.8|2.6|2.6|5|2.6|1|5|5|4.2|3.4|3.4|5|5|4.2|5|4.2|4.2|2.6|5|5|5|5|4.2|3.4|3.4|4.2|4.2|5|4.2|4.2|5|3.4|5|5|4.2|2.6|5|3.4|5|3.4|4.2|"2017"|"52"
"48"|"cdaa62471e991b3e957566b3b688ea00"|5|5|1|4.2|4.2|5|2.6|3.4|5|5|1.8|4.2|1.8|5|2.6|5|5|2.6|3.4|1|1|5|5|2.6|1.8|5|2.6|2.6|3.4|3.4|4.2|3.4|5|4.2|1.8|5|1.8|5|5|2.6|1|5|3.4|5|5|4.2|5|1|2.6|5|5|5|5|5|1.8|5|4.2|5|1.8|3.4|"2017"|"52"
"49"|"37fb3b62667fe5688ef2f73e4e23dc82"|3.4|4.2|2.6|4.2|4.2|4.2|5|4.2|5|3.4|3.4|3.4|4.2|3.4|5|5|4.2|4.2|4.2|1.8|3.4|3.4|4.2|4.2|1.8|5|3.4|4.2|3.4|5|4.2|4.2|4.2|5|4.2|4.2|4.2|5|3.4|4.2|4.2|4.2|4.2|3.4|5|5|4.2|3.4|4.2|5|3.4|5|5|5|3.4|3.4|5|4.2|3.4|3.4|"2017"|"52"
"50"|"2c234c2d20d0099e871ed685b259e5b2"|4.2|4.2|1|4.2|3.4|3.4|5|2.6|4.2|4.2|1.8|4.2|3.4|3.4|3.4|4.2|4.2|3.4|4.2|2.6|1.8|4.2|4.2|2.6|1.8|4.2|4.2|4.2|2.6|4.2|4.2|4.2|3.4|4.2|3.4|5|1.8|3.4|5|4.2|5|5|3.4|4.2|4.2|4.2|4.2|2.6|4.2|4.2|5|3.4|4.2|4.2|3.4|2.6|4.2|3.4|1.8|3.4|"2017"|"52"
"51"|"eec6d93dbd743a1fe7c33f6b258232b7"|2.6|1.8|1|3.4|3.4|3.4|4.2|2.6|4.2|4.2|3.4|4.2|3.4|3.4|4.2|2.6|4.2|5|1|1|1.8|4.2|5|3.4|1|4.2|2.6|1|4.2|4.2|2.6|1.8|1.8|2.6|2.6|2.6|2.6|2.6|2.6|2.6|2.6|1.8|2.6|2.6|2.6|2.6|2.6|2.6|2.6|2.6|2.6|2.6|2.6|2.6|2.6|2.6|1.8|2.6|2.6|2.6|"2017"|"52"
"52"|"fd2d143e67b2223f51ed373d591a2cb4"|3.4|4.2|1|3.4|4.2|4.2|4.2|4.2|5|5|1.8|3.4|4.2|5|4.2|4.2|4.2|5|4.2|2.6|5|4.2|4.2|2.6|1.8|4.2|5|4.2|2.6|5|4.2|1.8|5|4.2|3.4|5|1.8|4.2|4.2|5|5|4.2|5|5|5|5|4.2|3.4|5|5|5|5|5|4.2|1.8|5|5|5|5|4.2|"2017"|"52"
"53"|"0bcf8b6e7dd036414d56c73c7728bea6"|3.4|4.2|1.8|5|4.2|2.6|5|2.6|3.4|4.2|3.4|3.4|5|5|4.2|3.4|3.4|3.4|4.2|1.8|3.4|4.2|3.4|4.2|1.8|3.4|4.2|3.4|4.2|3.4|5|4.2|3.4|4.2|4.2|3.4|5|5|2.6|4.2|5|5|5|3.4|3.4|3.4|2.6|3.4|4.2|4.2|5|4.2|2.6|3.4|3.4|4.2|4.2|4.2|5|2.6|"2017"|"52"
"54"|"a851d1829c9cd72dd3af4608a75973d4"|5|5|1.8|4.2|3.4|4.2|5|1.8|3.4|5|3.4|4.2|4.2|4.2|3.4|4.2|5|4.2|4.2|3.4|4.2|2.6|5|3.4|1.8|5|4.2|3.4|1.8|4.2|4.2|4.2|4.2|4.2|3.4|4.2|2.6|5|4.2|1.8|4.2|5|1.8|1.8|3.4|2.6|3.4|4.2|4.2|1.8|1.8|4.2|4.2|5|5|5|2.6|4.2|4.2|3.4|"2017"|"52"
"55"|"0f64225114fa8a00d1719808355f12ed"|5|5|1|4.2|4.2|3.4|5|3.4|5|5|4.2|5|5|5|5|3.4|4.2|4.2|5|3.4|5|4.2|4.2|2.6|2.6|4.2|4.2|3.4|4.2|3.4|4.2|3.4|4.2|5|4.2|4.2|5|5|5|5|5|5|3.4|5|4.2|2.6|5|3.4|4.2|2.6|5|4.2|5|4.2|3.4|4.2|3.4|4.2|4.2|3.4|"2017"|"52"
